Stage,Formula,Energy,Bandgap,Type,SpaceGroup,Delta_E,Delta_Gap,File
AFTER,Li2As2N2O,-5.5787,1.795,Semiconductor,P2_1/c,-0.6992,0.617,Li2As2N2O_id813_Final_E-5.58.cif
,,,,,,,,
BEFORE,KZn2BO4,-4.0529,2.304,Semiconductor,P6_422,,,KZn2BO4_id1310_E-4.05.cif
AFTER,KZn2BO4,-5.5756,2.478,Semiconductor,P1,-1.5227,0.174,KZn2BO4_id1310_Final_E-5.58.cif
,,,,,,,,
BEFORE,PO6,-5.2706,3.462,Semiconductor,Aea2,,,PO6_id810_E-5.27.cif
AFTER,PO6,-5.5623,0.0,Metal,P1,-0.2917,-3.462,PO6_id810_Final_E-5.56.cif
,,,,,,,,
BEFORE,P3NO5,-5.3033,1.084,Semiconductor,P2/c,,,P3NO5_id126_E-5.30.cif
AFTER,P3NO5,-5.56,1.88,Semiconductor,P1,-0.2567,0.796,P3NO5_id126_Final_E-5.56.cif
,,,,,,,,
BEFORE,Sc3SnTe4,-5.5565,0.503,Semiconductor,Pm-3m,,,Sc3SnTe4_id2764_E-5.56.cif
AFTER,Sc3SnTe4,-5.5565,0.503,Semiconductor,Pm-3m,0.0000,0.000,Sc3SnTe4_id2764_Final_E-5.56.cif
,,,,,,,,
BEFORE,MgO2,-4.8794,2.189,Semiconductor,Pbca,,,MgO2_id1179_E-4.88.cif
AFTER,MgO2,-5.5552,2.776,Semiconductor,Pbca,-0.6758,0.587,MgO2_id1179_Final_E-5.56.cif
,,,,,,,,
BEFORE,CaO4,-4.9912,1.907,Semiconductor,P-42_1c,,,CaO4_id1205_E-4.99.cif
AFTER,CaO4,-5.5218,4.356,Insulator,P-42_1c,-0.5306,2.449,CaO4_id1205_Final_E-5.52.cif
,,,,,,,,
BEFORE,Ba2Ti3S4,-4.9829,1.288,Semiconductor,I4/mmm,,,Ba2Ti3S4_id75_E-4.98.cif
AFTER,Ba2Ti3S4,-5.4991,1.354,Semiconductor,I4/mmm,-0.5162,0.066,Ba2Ti3S4_id75_Final_E-5.50.cif
,,,,,,,,
BEFORE,Li2Mg(AsO3)2,-4.9642,0.104,Semiconductor,P4/mnc,,,Li2Mg(AsO3)2_id958_E-4.96.cif
AFTER,Li2Mg(AsO3)2,-5.4885,1.761,Semiconductor,P4/mnc,-0.5243,1.657,Li2Mg(AsO3)2_id958_Final_E-5.49.cif
,,,,,,,,
BEFORE,Li7BSb2O11,-4.0808,1.698,Semiconductor,Pna2_1,,,Li7BSb2O11_id283_E-4.08.cif
AFTER,Li7BSb2O11,-5.4882,3.352,Semiconductor,P1,-1.4074,1.654,Li7BSb2O11_id283_Final_E-5.49.cif
,,,,,,,,
BEFORE,CdN2O5,-5.4165,0.092,Semiconductor,C222_1,,,CdN2O5_id1701_E-5.42.cif
AFTER,CdN2O5,-5.4787,0.0,Metal,C222_1,-0.0622,-0.092,CdN2O5_id1701_Final_E-5.48.cif
,,,,,,,,
BEFORE,ScGa3(AsO2)6,-5.0822,0.339,Semiconductor,P6_3,,,ScGa3(AsO2)6_id2885_E-5.08.cif
AFTER,ScGa3(AsO2)6,-5.4747,1.335,Semiconductor,P6_3,-0.3925,0.996,ScGa3(AsO2)6_id2885_Final_E-5.47.cif
,,,,,,,,
BEFORE,SrCaO8,-5.3271,1.33,Semiconductor,P4/nbm,,,SrCaO8_id2761_E-5.33.cif
AFTER,SrCaO8,-5.4731,4.2,Insulator,C2/m,-0.1460,2.870,SrCaO8_id2761_Final_E-5.47.cif
,,,,,,,,
BEFORE,Na2ScO2,-4.9729,2.781,Semiconductor,P6/mmm,,,Na2ScO2_id3260_E-4.97.cif
AFTER,Na2ScO2,-5.4684,0.0,Metal,P6/mmm,-0.4955,-2.781,Na2ScO2_id3260_Final_E-5.47.cif
,,,,,,,,
BEFORE,MgGaN2,-5.3305,0.077,Semiconductor,P4/mmm,,,MgGaN2_id1828_E-5.33.cif
AFTER,MgGaN2,-5.4283,1.809,Semiconductor,P4/mmm,-0.0978,1.732,MgGaN2_id1828_Final_E-5.43.cif
,,,,,,,,
BEFORE,ScTeS2,-4.7676,0.205,Semiconductor,P3m1,,,ScTeS2_id2035_E-4.77.cif
AFTER,ScTeS2,-5.426,0.259,Semiconductor,P1,-0.6584,0.054,ScTeS2_id2035_Final_E-5.43.cif
,,,,,,,,
BEFORE,SiGe6O23,-4.7307,2.248,Semiconductor,C2,,,SiGe6O23_id3247_E-4.73.cif
AFTER,SiGe6O23,-5.4204,2.32,Semiconductor,P1,-0.6897,0.072,SiGe6O23_id3247_Final_E-5.42.cif
,,,,,,,,
BEFORE,MgSc3O18,-5.3138,1.645,Semiconductor,P2/c,,,MgSc3O18_id1067_E-5.31.cif
AFTER,MgSc3O18,-5.4015,1.533,Semiconductor,P1,-0.0877,-0.112,MgSc3O18_id1067_Final_E-5.40.cif
,,,,,,,,
BEFORE,Sr2CSO,-3.8734,0.506,Semiconductor,P2/m,,,Sr2CSO_id1998_E-3.87.cif
AFTER,Sr2CSO,-5.4009,2.004,Semiconductor,P1,-1.5275,1.498,Sr2CSO_id1998_Final_E-5.40.cif
,,,,,,,,
BEFORE,KIn(TeO3)4,-3.0618,1.844,Semiconductor,P4/nbm,,,KIn(TeO3)4_id2069_E-3.06.cif
AFTER,KIn(TeO3)4,-5.3815,2.432,Semiconductor,P-1,-2.3197,0.588,KIn(TeO3)4_id2069_Final_E-5.38.cif
,,,,,,,,
BEFORE,KScTiO,-5.0018,0.08,Semiconductor,P-3m1,,,KScTiO_id2924_E-5.00.cif
AFTER,KScTiO,-5.3654,0.0,Metal,P-1,-0.3636,-0.080,KScTiO_id2924_Final_E-5.37.cif
,,,,,,,,
BEFORE,Ba4LiIn3O6,-5.3621,0.351,Semiconductor,Im-3m,,,Ba4LiIn3O6_id1476_E-5.36.cif
AFTER,Ba4LiIn3O6,-5.3621,0.351,Semiconductor,Im-3m,0.0000,0.000,Ba4LiIn3O6_id1476_Final_E-5.36.cif
,,,,,,,,
BEFORE,LiSbCO,-4.5989,2.46,Semiconductor,P4/nmm,,,LiSbCO_id2603_E-4.60.cif
AFTER,LiSbCO,-5.362,0.0,Metal,C2/m,-0.7631,-2.460,LiSbCO_id2603_Final_E-5.36.cif
,,,,,,,,
BEFORE,Ti(InS2)2,-5.2975,1.296,Semiconductor,Pban,,,Ti(InS2)2_id3364_E-5.30.cif
AFTER,Ti(InS2)2,-5.3595,0.308,Semiconductor,Pban,-0.0620,-0.988,Ti(InS2)2_id3364_Final_E-5.36.cif
,,,,,,,,
BEFORE,B2As2S3,-4.8989,2.188,Semiconductor,P4_2mc,,,B2As2S3_id2138_E-4.90.cif
AFTER,B2As2S3,-5.3497,1.712,Semiconductor,P4_2mc,-0.4508,-0.476,B2As2S3_id2138_Final_E-5.35.cif
,,,,,,,,
BEFORE,Si6O19,-4.6186,1.065,Semiconductor,P6/mmm,,,Si6O19_id262_E-4.62.cif
AFTER,Si6O19,-5.3287,0.0,Metal,P-1,-0.7101,-1.065,Si6O19_id262_Final_E-5.33.cif
,,,,,,,,
BEFORE,NaIn(SO4)3,-4.3243,2.629,Semiconductor,P6_322,,,NaIn(SO4)3_id1773_E-4.32.cif
AFTER,NaIn(SO4)3,-5.3286,0.708,Semiconductor,P1,-1.0043,-1.921,NaIn(SO4)3_id1773_Final_E-5.33.cif
,,,,,,,,
BEFORE,MgN6O11,-4.4017,3.494,Semiconductor,P1,,,MgN6O11_id581_E-4.40.cif
AFTER,MgN6O11,-5.3224,0.0,Metal,P1,-0.9207,-3.494,MgN6O11_id581_Final_E-5.32.cif
,,,,,,,,
BEFORE,TiO2,-3.5606,0.197,Semiconductor,I4/mmm,,,TiO2_id269_E-3.56.cif
AFTER,TiO2,-5.302,2.201,Semiconductor,Pm,-1.7414,2.004,TiO2_id269_Final_E-5.30.cif
,,,,,,,,
BEFORE,Mg2Ti2CO2,-4.6029,1.471,Semiconductor,P1,,,Mg2Ti2CO2_id474_E-4.60.cif
AFTER,Mg2Ti2CO2,-5.3015,1.645,Semiconductor,P1,-0.6986,0.174,Mg2Ti2CO2_id474_Final_E-5.30.cif
,,,,,,,,
BEFORE,MgN,-4.9013,0.341,Semiconductor,P4_2/ncm,,,MgN_id873_E-4.90.cif
AFTER,MgN,-5.3014,0.313,Semiconductor,Cm,-0.4001,-0.028,MgN_id873_Final_E-5.30.cif
,,,,,,,,
BEFORE,GaO,-5.2362,1.769,Semiconductor,P4_2/ncm,,,GaO_id1406_E-5.24.cif
AFTER,GaO,-5.2507,1.81,Semiconductor,P4_2/ncm,-0.0145,0.041,GaO_id1406_Final_E-5.25.cif
,,,,,,,,
BEFORE,ScSiO19,-4.073,0.268,Semiconductor,Pc,,,ScSiO19_id990_E-4.07.cif
AFTER,ScSiO19,-5.2318,2.276,Semiconductor,P1,-1.1588,2.008,ScSiO19_id990_Final_E-5.23.cif
,,,,,,,,
BEFORE,ScAlSb,-5.0715,0.952,Semiconductor,P4/nmm,,,ScAlSb_id1210_E-5.07.cif
AFTER,ScAlSb,-5.2246,0.0,Metal,P4/nmm,-0.1531,-0.952,ScAlSb_id1210_Final_E-5.22.cif
,,,,,,,,
BEFORE,CaZn5(GaO2)6,-3.8111,0.073,Semiconductor,P6/mmm,,,CaZn5(GaO2)6_id1896_E-3.81.cif
AFTER,CaZn5(GaO2)6,-5.2238,1.057,Semiconductor,P1,-1.4127,0.984,CaZn5(GaO2)6_id1896_Final_E-5.22.cif
,,,,,,,,
BEFORE,KAlZn2O6,-3.3142,2.225,Semiconductor,P321,,,KAlZn2O6_id2493_E-3.31.cif
AFTER,KAlZn2O6,-5.2096,2.665,Semiconductor,P1,-1.8954,0.440,KAlZn2O6_id2493_Final_E-5.21.cif
,,,,,,,,
BEFORE,BaN20,-4.3103,1.936,Semiconductor,Pm,,,BaN20_id2964_E-4.31.cif
AFTER,BaN20,-5.206,1.782,Semiconductor,Pm,-0.8957,-0.154,BaN20_id2964_Final_E-5.21.cif
,,,,,,,,
BEFORE,ScTiO18,-4.841,0.743,Semiconductor,P-31c,,,ScTiO18_id3079_E-4.84.cif
AFTER,ScTiO18,-5.1952,0.14,Semiconductor,P1,-0.3542,-0.603,ScTiO18_id3079_Final_E-5.20.cif
,,,,,,,,
BEFORE,BaLi4O8,-4.1811,2.594,Semiconductor,P4_2/n,,,BaLi4O8_id1616_E-4.18.cif
AFTER,BaLi4O8,-5.1889,3.197,Semiconductor,P-1,-1.0078,0.603,BaLi4O8_id1616_Final_E-5.19.cif
,,,,,,,,
BEFORE,TiBO2,-2.5605,1.61,Semiconductor,C222_1,,,TiBO2_id2277_E-2.56.cif
AFTER,TiBO2,-5.1875,3.596,Insulator,P1,-2.6270,1.986,TiBO2_id2277_Final_E-5.19.cif
,,,,,,,,
BEFORE,K(AsO)2,-5.0694,1.391,Semiconductor,P4/mnc,,,K(AsO)2_id3386_E-5.07.cif
AFTER,K(AsO)2,-5.1634,1.005,Semiconductor,P4/mnc,-0.0940,-0.386,K(AsO)2_id3386_Final_E-5.16.cif
,,,,,,,,
BEFORE,Be4Si2B4S3,-4.9854,1.81,Semiconductor,Pccn,,,Be4Si2B4S3_id1373_E-4.99.cif
AFTER,Be4Si2B4S3,-5.1615,4.17,Insulator,Pccn,-0.1761,2.360,Be4Si2B4S3_id1373_Final_E-5.16.cif
,,,,,,,,
BEFORE,NaSn5(GeO2)2,-5.119,0.26,Semiconductor,P-4m2,,,NaSn5(GeO2)2_id2614_E-5.12.cif
AFTER,NaSn5(GeO2)2,-5.1566,0.082,Semiconductor,P-4m2,-0.0376,-0.178,NaSn5(GeO2)2_id2614_Final_E-5.16.cif
,,,,,,,,
BEFORE,K3As4(NO2)3,-4.0646,1.308,Semiconductor,C222,,,K3As4(NO2)3_id1493_E-4.06.cif
AFTER,K3As4(NO2)3,-5.1415,0.0,Metal,P1,-1.0769,-1.308,K3As4(NO2)3_id1493_Final_E-5.14.cif
,,,,,,,,
BEFORE,LiSO,-4.4869,2.705,Semiconductor,P2_12_12_1,,,LiSO_id1782_E-4.49.cif
AFTER,LiSO,-5.1351,1.871,Semiconductor,P1,-0.6482,-0.834,LiSO_id1782_Final_E-5.14.cif
,,,,,,,,
BEFORE,MgInO6,-4.967,1.507,Semiconductor,P-31c,,,MgInO6_id843_E-4.97.cif
AFTER,MgInO6,-5.1049,1.87,Semiconductor,P-31c,-0.1379,0.363,MgInO6_id843_Final_E-5.10.cif
,,,,,,,,
BEFORE,K4Te13O24,-4.191,0.127,Semiconductor,Pn-3n,,,K4Te13O24_id448_E-4.19.cif
AFTER,K4Te13O24,-5.1042,0.951,Semiconductor,Pn-3n,-0.9132,0.824,K4Te13O24_id448_Final_E-5.10.cif
,,,,,,,,
BEFORE,KLiPO14,-4.3074,2.527,Semiconductor,P1,,,KLiPO14_id1475_E-4.31.cif
AFTER,KLiPO14,-5.1025,0.0,Metal,P1,-0.7951,-2.527,KLiPO14_id1475_Final_E-5.10.cif
,,,,,,,,
BEFORE,LiAsO6,-4.9928,0.787,Semiconductor,P6_322,,,LiAsO6_id3323_E-4.99.cif
AFTER,LiAsO6,-5.0989,3.379,Semiconductor,P6_322,-0.1061,2.592,LiAsO6_id3323_Final_E-5.10.cif
,,,,,,,,
BEFORE,Sr3Ca3N4,-4.0659,0.862,Semiconductor,I-43d,,,Sr3Ca3N4_id2093_E-4.07.cif
AFTER,Sr3Ca3N4,-5.096,0.094,Semiconductor,P1,-1.0301,-0.768,Sr3Ca3N4_id2093_Final_E-5.10.cif
,,,,,,,,
BEFORE,KCaO8,-5.009,2.116,Semiconductor,P4/nbm,,,KCaO8_id3371_E-5.01.cif
AFTER,KCaO8,-5.0953,0.218,Semiconductor,P4/nbm,-0.0863,-1.898,KCaO8_id3371_Final_E-5.10.cif
,,,,,,,,
BEFORE,CO20,-4.7853,0.917,Semiconductor,Pc,,,CO20_id919_E-4.79.cif
AFTER,CO20,-5.0795,0.0,Metal,Pc,-0.2942,-0.917,CO20_id919_Final_E-5.08.cif
,,,,,,,,
BEFORE,Ca4C7N3,-4.2088,0.791,Semiconductor,P1,,,Ca4C7N3_id2002_E-4.21.cif
AFTER,Ca4C7N3,-5.0756,0.429,Semiconductor,P1,-0.8668,-0.362,Ca4C7N3_id2002_Final_E-5.08.cif
,,,,,,,,
BEFORE,Ba3Li2AsO15,-4.5576,1.581,Semiconductor,P31m,,,Ba3Li2AsO15_id2711_E-4.56.cif
AFTER,Ba3Li2AsO15,-5.0651,2.704,Semiconductor,P1,-0.5075,1.123,Ba3Li2AsO15_id2711_Final_E-5.07.cif
,,,,,,,,
BEFORE,MgSbO4,-5.0444,0.806,Semiconductor,Cmmm,,,MgSbO4_id2184_E-5.04.cif
AFTER,MgSbO4,-5.062,0.92,Semiconductor,Cmmm,-0.0176,0.114,MgSbO4_id2184_Final_E-5.06.cif
,,,,,,,,
BEFORE,NaAs(SO)4,-4.603,0.93,Semiconductor,P4/nbm,,,NaAs(SO)4_id242_E-4.60.cif
AFTER,NaAs(SO)4,-5.0609,2.628,Semiconductor,P-1,-0.4579,1.698,NaAs(SO)4_id242_Final_E-5.06.cif
,,,,,,,,
BEFORE,BeAl2(SN)2,-4.7235,2.785,Semiconductor,Pa-3,,,BeAl2(SN)2_id1608_E-4.72.cif
AFTER,BeAl2(SN)2,-5.0493,1.89,Semiconductor,P1,-0.3258,-0.895,BeAl2(SN)2_id1608_Final_E-5.05.cif
,,,,,,,,
BEFORE,Li3ZnBO9,-4.5523,2.779,Semiconductor,Pna2_1,,,Li3ZnBO9_id2644_E-4.55.cif
AFTER,Li3ZnBO9,-5.0428,2.042,Semiconductor,Pc,-0.4905,-0.737,Li3ZnBO9_id2644_Final_E-5.04.cif
,,,,,,,,
BEFORE,Ca(SeO)3,-4.9987,2.073,Semiconductor,P6_3,,,Ca(SeO)3_id50_E-5.00.cif
AFTER,Ca(SeO)3,-5.0399,2.548,Semiconductor,P6_3,-0.0412,0.475,Ca(SeO)3_id50_Final_E-5.04.cif
,,,,,,,,
BEFORE,PS,-4.4866,2.57,Semiconductor,Pbca,,,PS_id1223_E-4.49.cif
AFTER,PS,-5.0144,2.125,Semiconductor,P2_1/c,-0.5278,-0.445,PS_id1223_Final_E-5.01.cif
,,,,,,,,
BEFORE,LiAlTe5O4,-3.6674,2.232,Semiconductor,P-42m,,,LiAlTe5O4_id350_E-3.67.cif
AFTER,LiAlTe5O4,-5.0086,1.091,Semiconductor,P2,-1.3412,-1.141,LiAlTe5O4_id350_Final_E-5.01.cif
,,,,,,,,
BEFORE,MgTiGeAs2,-4.9368,0.194,Semiconductor,Pmmm,,,MgTiGeAs2_id2803_E-4.94.cif
AFTER,MgTiGeAs2,-4.9982,0.64,Semiconductor,Pmmm,-0.0614,0.446,MgTiGeAs2_id2803_Final_E-5.00.cif
,,,,,,,,
BEFORE,Be(NO4)2,-4.2827,2.778,Semiconductor,P1,,,Be(NO4)2_id2775_E-4.28.cif
AFTER,Be(NO4)2,-4.9963,1.814,Semiconductor,P1,-0.7136,-0.964,Be(NO4)2_id2775_Final_E-5.00.cif
,,,,,,,,
BEFORE,SiSb(AsP8)2,-4.65,0.72,Semiconductor,P1,,,SiSb(AsP8)2_id863_E-4.65.cif
AFTER,SiSb(AsP8)2,-4.9876,0.314,Semiconductor,P1,-0.3376,-0.406,SiSb(AsP8)2_id863_Final_E-4.99.cif
,,,,,,,,
BEFORE,SbO11,-4.3343,0.523,Semiconductor,P2,,,SbO11_id1039_E-4.33.cif
AFTER,SbO11,-4.9851,0.557,Semiconductor,P2,-0.6508,0.034,SbO11_id1039_Final_E-4.99.cif
,,,,,,,,
BEFORE,SrZnO4,-4.8362,1.699,Semiconductor,P-42_1c,,,SrZnO4_id1917_E-4.84.cif
AFTER,SrZnO4,-4.9845,0.369,Semiconductor,P2_12_12,-0.1483,-1.330,SrZnO4_id1917_Final_E-4.98.cif
,,,,,,,,
BEFORE,Li2Sc2SnSe6,-4.2212,0.791,Semiconductor,Cccm,,,Li2Sc2SnSe6_id2354_E-4.22.cif
AFTER,Li2Sc2SnSe6,-4.9719,0.911,Semiconductor,C2/c,-0.7507,0.120,Li2Sc2SnSe6_id2354_Final_E-4.97.cif
,,,,,,,,
BEFORE,KP2O,-4.2838,1.222,Semiconductor,I4_1/amd,,,KP2O_id425_E-4.28.cif
AFTER,KP2O,-4.967,2.544,Semiconductor,P-1,-0.6832,1.322,KP2O_id425_Final_E-4.97.cif
,,,,,,,,
BEFORE,BaCdO6,-4.6931,0.059,Semiconductor,P6_322,,,BaCdO6_id3208_E-4.69.cif
AFTER,BaCdO6,-4.9435,0.0,Metal,P6_322,-0.2504,-0.059,BaCdO6_id3208_Final_E-4.94.cif
,,,,,,,,
BEFORE,NaLi2MgO4,-4.8864,3.262,Semiconductor,Pccm,,,NaLi2MgO4_id1590_E-4.89.cif
AFTER,NaLi2MgO4,-4.9402,3.694,Insulator,Pccm,-0.0538,0.432,NaLi2MgO4_id1590_Final_E-4.94.cif
,,,,,,,,
BEFORE,Te4AsO4,-4.6964,1.808,Semiconductor,I4_1/a,,,Te4AsO4_id2525_E-4.70.cif
AFTER,Te4AsO4,-4.9342,1.891,Semiconductor,I4_1/a,-0.2378,0.083,Te4AsO4_id2525_Final_E-4.93.cif
,,,,,,,,
BEFORE,LiO2,-4.4486,1.683,Semiconductor,Pbca,,,LiO2_id1950_E-4.45.cif
AFTER,LiO2,-4.9338,0.301,Semiconductor,P2_1/c,-0.4852,-1.382,LiO2_id1950_Final_E-4.93.cif
,,,,,,,,
BEFORE,BaZn2SnO18,-4.4855,1.22,Semiconductor,P-3,,,BaZn2SnO18_id875_E-4.49.cif
AFTER,BaZn2SnO18,-4.9331,0.789,Semiconductor,P-3,-0.4476,-0.431,BaZn2SnO18_id875_Final_E-4.93.cif
,,,,,,,,
BEFORE,SbAs3,-4.8449,0.729,Semiconductor,P4_12_12,,,SbAs3_id917_E-4.84.cif
AFTER,SbAs3,-4.9252,0.273,Semiconductor,P1,-0.0803,-0.456,SbAs3_id917_Final_E-4.93.cif
,,,,,,,,
BEFORE,CaO6,-4.8629,3.033,Semiconductor,P4/nbm,,,CaO6_id2759_E-4.86.cif
AFTER,CaO6,-4.9182,4.186,Insulator,P1,-0.0553,1.153,CaO6_id2759_Final_E-4.92.cif
,,,,,,,,
BEFORE,Na2CaO8,-4.4253,1.821,Semiconductor,C2/c,,,Na2CaO8_id442_E-4.43.cif
AFTER,Na2CaO8,-4.9029,0.0,Metal,C2/c,-0.4776,-1.821,Na2CaO8_id442_Final_E-4.90.cif
,,,,,,,,
BEFORE,BaO7,-4.6919,1.802,Semiconductor,P6_322,,,BaO7_id2175_E-4.69.cif
AFTER,BaO7,-4.8972,0.017,Metal,P6_322,-0.2053,-1.785,BaO7_id2175_Final_E-4.90.cif
,,,,,,,,
BEFORE,GaO4,-4.5959,0.176,Semiconductor,Pmm2,,,GaO4_id1353_E-4.60.cif
AFTER,GaO4,-4.889,0.336,Semiconductor,P-1,-0.2931,0.160,GaO4_id1353_Final_E-4.89.cif
,,,,,,,,
BEFORE,LiMg(SO)2,-4.6229,2.718,Semiconductor,C222_1,,,LiMg(SO)2_id898_E-4.62.cif
AFTER,LiMg(SO)2,-4.8811,2.891,Semiconductor,C222_1,-0.2582,0.173,LiMg(SO)2_id898_Final_E-4.88.cif
,,,,,,,,
BEFORE,SrSi10,-4.7273,0.11,Semiconductor,Pmma,,,SrSi10_id25_E-4.73.cif
AFTER,SrSi10,-4.878,2.801,Semiconductor,P-1,-0.1507,2.691,SrSi10_id25_Final_E-4.88.cif
,,,,,,,,
BEFORE,Li2O2,-4.3489,1.886,Semiconductor,P4_2/ncm,,,Li2O2_id2344_E-4.35.cif
AFTER,Li2O2,-4.8662,2.279,Semiconductor,Pna2_1,-0.5173,0.393,Li2O2_id2344_Final_E-4.87.cif
,,,,,,,,
BEFORE,As4SO10,-4.85,0.619,Semiconductor,P222,,,As4SO10_id1003_E-4.85.cif
AFTER,As4SO10,-4.8642,0.991,Semiconductor,P1,-0.0142,0.372,As4SO10_id1003_Final_E-4.86.cif
,,,,,,,,
BEFORE,BeBO2,-4.8563,2.47,Semiconductor,P6_222,,,BeBO2_id1673_E-4.86.cif
AFTER,BeBO2,-4.8563,2.47,Semiconductor,P6_222,0.0000,0.000,BeBO2_id1673_Final_E-4.86.cif
,,,,,,,,
BEFORE,K2SbO5,-3.7777,1.131,Semiconductor,Pmmm,,,K2SbO5_id1613_E-3.78.cif
AFTER,K2SbO5,-4.8486,0.47,Semiconductor,P1,-1.0709,-0.661,K2SbO5_id1613_Final_E-4.85.cif
,,,,,,,,
BEFORE,Li4O11,-4.5198,1.246,Semiconductor,P2,,,Li4O11_id204_E-4.52.cif
AFTER,Li4O11,-4.84,0.16,Semiconductor,P1,-0.3202,-1.086,Li4O11_id204_Final_E-4.84.cif
,,,,,,,,
BEFORE,Sc3N5O13,-4.8211,1.896,Semiconductor,P-31m,,,Sc3N5O13_id2262_E-4.82.cif
AFTER,Sc3N5O13,-4.8396,0.014,Metal,P1,-0.0185,-1.882,Sc3N5O13_id2262_Final_E-4.84.cif
,,,,,,,,
BEFORE,KMgS2O3,-3.611,0.508,Semiconductor,R32,,,KMgS2O3_id583_E-3.61.cif
AFTER,KMgS2O3,-4.8345,0.625,Semiconductor,P1,-1.2235,0.117,KMgS2O3_id583_Final_E-4.83.cif
,,,,,,,,
BEFORE,Ca4ScTiO,-3.7819,2.726,Semiconductor,P1,,,Ca4ScTiO_id915_E-3.78.cif
AFTER,Ca4ScTiO,-4.8204,0.835,Semiconductor,P1,-1.0385,-1.891,Ca4ScTiO_id915_Final_E-4.82.cif
,,,,,,,,
BEFORE,LiO7,-3.5041,1.891,Semiconductor,R3m,,,LiO7_id1710_E-3.50.cif
AFTER,LiO7,-4.8202,0.0,Metal,P1,-1.3161,-1.891,LiO7_id1710_Final_E-4.82.cif
,,,,,,,,
BEFORE,As2P4NO7,-3.8328,0.539,Semiconductor,P2_12_12_1,,,As2P4NO7_id42_E-3.83.cif
AFTER,As2P4NO7,-4.8166,1.208,Semiconductor,P1,-0.9838,0.669,As2P4NO7_id42_Final_E-4.82.cif
,,,,,,,,
BEFORE,SeSO2,-4.8153,2.554,Semiconductor,P4_2/mmc,,,SeSO2_id711_E-4.82.cif
AFTER,SeSO2,-4.8162,2.55,Semiconductor,P4_2/mmc,-0.0009,-0.004,SeSO2_id711_Final_E-4.82.cif
,,,,,,,,
BEFORE,KB3,-4.814,1.433,Semiconductor,P6/mmm,,,KB3_id1483_E-4.81.cif
AFTER,KB3,-4.8148,1.265,Semiconductor,P6/mmm,-0.0008,-0.168,KB3_id1483_Final_E-4.81.cif
,,,,,,,,
BEFORE,KC14,-4.2744,0.361,Semiconductor,P1,,,KC14_id1243_E-4.27.cif
AFTER,KC14,-4.8131,0.448,Semiconductor,P1,-0.5387,0.087,KC14_id1243_Final_E-4.81.cif
,,,,,,,,
BEFORE,BP2,-4.8084,1.102,Semiconductor,F-43m,,,BP2_id1000_E-4.81.cif
AFTER,BP2,-4.8084,1.102,Semiconductor,F-43m,0.0000,0.000,BP2_id1000_Final_E-4.81.cif
,,,,,,,,
BEFORE,NO19,-3.8698,0.959,Semiconductor,P2/c,,,NO19_id255_E-3.87.cif
AFTER,NO19,-4.8063,1.202,Semiconductor,P2/c,-0.9365,0.243,NO19_id255_Final_E-4.81.cif
,,,,,,,,
BEFORE,BP12,-4.7983,0.102,Semiconductor,I432,,,BP12_id3366_E-4.80.cif
AFTER,BP12,-4.7996,0.089,Semiconductor,I432,-0.0013,-0.013,BP12_id3366_Final_E-4.80.cif
,,,,,,,,
BEFORE,SiSnS2,-4.5723,0.067,Semiconductor,P6_522,,,SiSnS2_id2658_E-4.57.cif
AFTER,SiSnS2,-4.7936,0.0,Metal,P6_522,-0.2213,-0.067,SiSnS2_id2658_Final_E-4.79.cif
,,,,,,,,
BEFORE,AlSi3,-4.4322,1.303,Semiconductor,Ibam,,,AlSi3_id2624_E-4.43.cif
AFTER,AlSi3,-4.7923,2.459,Semiconductor,P2/c,-0.3601,1.156,AlSi3_id2624_Final_E-4.79.cif
,,,,,,,,
BEFORE,K3CaO5,-3.6467,1.115,Semiconductor,P-3m1,,,K3CaO5_id1735_E-3.65.cif
AFTER,K3CaO5,-4.791,0.0,Metal,P1,-1.1443,-1.115,K3CaO5_id1735_Final_E-4.79.cif
,,,,,,,,
BEFORE,BeSiGeP2,-4.5374,0.089,Semiconductor,P2_12_12_1,,,BeSiGeP2_id2114_E-4.54.cif
AFTER,BeSiGeP2,-4.7909,1.013,Semiconductor,P2_12_12_1,-0.2535,0.924,BeSiGeP2_id2114_Final_E-4.79.cif
,,,,,,,,
BEFORE,BaLiGeO3,-4.7787,1.297,Semiconductor,P-6m2,,,BaLiGeO3_id2409_E-4.78.cif
AFTER,BaLiGeO3,-4.7824,1.573,Semiconductor,P-6m2,-0.0037,0.276,BaLiGeO3_id2409_Final_E-4.78.cif
,,,,,,,,
BEFORE,NaO8,-4.1201,1.169,Semiconductor,Pba2,,,NaO8_id3327_E-4.12.cif
AFTER,NaO8,-4.7602,2.837,Semiconductor,Pba2,-0.6401,1.668,NaO8_id3327_Final_E-4.76.cif
,,,,,,,,
BEFORE,Ba2S2N2O17,-4.3486,0.164,Semiconductor,P1,,,Ba2S2N2O17_id2672_E-4.35.cif
AFTER,Ba2S2N2O17,-4.7547,1.897,Semiconductor,P1,-0.4061,1.733,Ba2S2N2O17_id2672_Final_E-4.75.cif
,,,,,,,,
BEFORE,MgCdO8,-4.3471,1.125,Semiconductor,Pban,,,MgCdO8_id3302_E-4.35.cif
AFTER,MgCdO8,-4.7541,0.0,Metal,Pban,-0.4070,-1.125,MgCdO8_id3302_Final_E-4.75.cif
