file_name,formula,energy,bandgap,Application_Class,space_group,type
Ba3Sb4As4S3_id1298_Final_E-4.29.cif,Ba3Sb4As4S3,-4.2861,1.448,Solar / Visible,P6_3,Semiconductor
ScSi2_id782_Final_E-4.28.cif,ScSi2,-4.2824,0.241,IR / Narrow-Gap,Pn-3m,Semiconductor
Be4GeCS2_id1762_Final_E-4.28.cif,Be4GeCS2,-4.2779,0.368,IR / Narrow-Gap,Fd-3m,Semiconductor
KCaO3_id2789_Final_E-4.28.cif,KCaO3,-4.276,0.162,IR / Narrow-Gap,Pm-3m,Semiconductor
BaCa2(NO6)2_id1766_Final_E-4.25.cif,BaCa2(NO6)2,-4.2535,2.75,Wide-Gap Power/LED,P1,Semiconductor
AsS3_id2012_Final_E-4.24.cif,AsS3,-4.243,1.251,Solar / Visible,Pm,Semiconductor
Ba2Sn(NO)2_id2613_Final_E-4.24.cif,Ba2Sn(NO)2,-4.2406,1.503,Solar / Visible,P1,Semiconductor
BaO2_id1807_Final_E-4.22.cif,BaO2,-4.2185,0.208,IR / Narrow-Gap,P-6m2,Semiconductor
MgS_id265_Final_E-4.21.cif,MgS,-4.2098,2.486,Wide-Gap Power/LED,Pccm,Semiconductor
KBeO2_id555_Final_E-4.20.cif,KBeO2,-4.2027,2.944,Wide-Gap Power/LED,Fm-3m,Semiconductor
NaSi3(GeTe)3_id652_Final_E-4.19.cif,NaSi3(GeTe)3,-4.1929,0.064,IR / Narrow-Gap,P-1,Semiconductor
SnSb2Se5_id1142_Final_E-4.19.cif,SnSb2Se5,-4.1869,0.519,IR / Narrow-Gap,P1,Semiconductor
GeS10_id999_Final_E-4.17.cif,GeS10,-4.1715,1.702,Solar / Visible,P1,Semiconductor
Li3AlSbSe4_id1065_Final_E-4.17.cif,Li3AlSbSe4,-4.1692,1.177,Solar / Visible,P-43m,Semiconductor
InSiS19_id120_Final_E-4.15.cif,InSiS19,-4.1545,1.076,Solar / Visible,P1,Semiconductor
KLi3Se3O4_id1728_Final_E-4.15.cif,KLi3Se3O4,-4.1501,2.496,Wide-Gap Power/LED,Pm-3n,Semiconductor
LiSe2O3_id390_Final_E-4.15.cif,LiSe2O3,-4.1479,2.943,Wide-Gap Power/LED,P1,Semiconductor
InSi4_id2618_Final_E-4.15.cif,InSi4,-4.1454,1.868,Solar / Visible,C2/c,Semiconductor
Li5S6_id2423_Final_E-4.12.cif,Li5S6,-4.1239,1.892,Solar / Visible,P1,Semiconductor
GeAs2Se7_id1066_Final_E-4.11.cif,GeAs2Se7,-4.1118,1.033,Solar / Visible,P2/m,Semiconductor
Li2AlGaSe4_id434_Final_E-4.11.cif,Li2AlGaSe4,-4.1116,1.676,Solar / Visible,I-42d,Semiconductor
AsS4O_id3129_Final_E-4.11.cif,AsS4O,-4.1095,2.609,Wide-Gap Power/LED,P1,Semiconductor
BaSrSnN_id1685_Final_E-4.11.cif,BaSrSnN,-4.1071,0.541,IR / Narrow-Gap,C2/m,Semiconductor
KIn(SeO4)2_id2942_Final_E-4.11.cif,KIn(SeO4)2,-4.1053,1.989,Solar / Visible,P-1,Semiconductor
CaZn4CdO4_id1504_Final_E-4.09.cif,CaZn4CdO4,-4.0938,0.276,IR / Narrow-Gap,P4bm,Semiconductor
AsS5_id2407_Final_E-4.09.cif,AsS5,-4.0927,0.624,IR / Narrow-Gap,P2,Semiconductor
LiTi2(Se3S5)2_id3198_Final_E-4.09.cif,LiTi2(Se3S5)2,-4.087,1.61,Solar / Visible,Pm,Semiconductor
Ti2O45_id2832_Final_E-4.08.cif,Ti2O45,-4.083,0.199,IR / Narrow-Gap,P2/c,Semiconductor
KMg(TeO)4_id722_Final_E-4.08.cif,KMg(TeO)4,-4.0809,1.826,Solar / Visible,Pban,Semiconductor
LiZn2O8_id774_Final_E-4.07.cif,LiZn2O8,-4.0721,0.118,IR / Narrow-Gap,Pm,Semiconductor
SnO8_id2712_Final_E-4.06.cif,SnO8,-4.0637,0.072,IR / Narrow-Gap,Fm-3m,Semiconductor
K11In3(BO)6_id2455_Final_E-4.06.cif,K11In3(BO)6,-4.0624,0.387,IR / Narrow-Gap,P-31c,Semiconductor
KZn2O4_id2323_Final_E-4.06.cif,KZn2O4,-4.0576,2.916,Wide-Gap Power/LED,P-42_1m,Semiconductor
Li2SeS2_id1596_Final_E-4.05.cif,Li2SeS2,-4.0532,1.808,Solar / Visible,P4_32_12,Semiconductor
KAs4_id1694_Final_E-4.05.cif,KAs4,-4.0527,0.755,IR / Narrow-Gap,P4_122,Semiconductor
Li2S_id2313_Final_E-4.04.cif,Li2S,-4.0417,2.292,Wide-Gap Power/LED,Pbcn,Semiconductor
LiSeS_id1057_Final_E-4.04.cif,LiSeS,-4.0401,1.625,Solar / Visible,P1,Semiconductor
Al3ZnInS4_id2097_Final_E-4.03.cif,Al3ZnInS4,-4.0319,0.252,IR / Narrow-Gap,P-43m,Semiconductor
Na2LiS4_id1767_Final_E-4.03.cif,Na2LiS4,-4.0317,2.204,Wide-Gap Power/LED,P-1,Semiconductor
Sr2N8O17_id1446_Final_E-4.03.cif,Sr2N8O17,-4.0308,0.319,IR / Narrow-Gap,P1,Semiconductor
K(CaSi2)2_id2763_Final_E-4.03.cif,K(CaSi2)2,-4.0302,0.784,IR / Narrow-Gap,Iba2,Semiconductor
K3Ge(Se4S3)2_id3235_Final_E-4.02.cif,K3Ge(Se4S3)2,-4.021,1.152,Solar / Visible,P1,Semiconductor
LiAl(GaN)2_id2497_Final_E-4.00.cif,LiAl(GaN)2,-4.0003,2.011,Wide-Gap Power/LED,P1,Semiconductor
NaMgS12_id1557_Final_E-4.00.cif,NaMgS12,-3.9987,1.814,Solar / Visible,Fd-3,Semiconductor
MgSc2_id162_Final_E-3.99.cif,MgSc2,-3.994,0.269,IR / Narrow-Gap,P1,Semiconductor
Ge2N5O11_id953_Final_E-3.99.cif,Ge2N5O11,-3.9912,0.652,IR / Narrow-Gap,P1,Semiconductor
K4Si2PO2_id1158_Final_E-3.99.cif,K4Si2PO2,-3.9909,0.944,IR / Narrow-Gap,P-42m,Semiconductor
CaCNO6_id1398_Final_E-3.99.cif,CaCNO6,-3.9862,3.415,Wide-Gap Power/LED,P1,Semiconductor
KInSbSe8_id1343_Final_E-3.98.cif,KInSbSe8,-3.9765,0.452,IR / Narrow-Gap,Pmm2,Semiconductor
Na4SiS6_id253_Final_E-3.97.cif,Na4SiS6,-3.965,1.718,Solar / Visible,P1,Semiconductor
As2PSeS16_id949_Final_E-3.96.cif,As2PSeS16,-3.9643,1.872,Solar / Visible,P1,Semiconductor
Se2S5_id1072_Final_E-3.96.cif,Se2S5,-3.9598,2.051,Wide-Gap Power/LED,Pba2,Semiconductor
K3O4_id733_Final_E-3.96.cif,K3O4,-3.9577,2.392,Wide-Gap Power/LED,I-43d,Semiconductor
LiSeS_id3343_Final_E-3.95.cif,LiSeS,-3.9491,0.832,IR / Narrow-Gap,Pcc2,Semiconductor
ScCd4O24_id3213_Final_E-3.94.cif,ScCd4O24,-3.9433,1.846,Solar / Visible,P1,Semiconductor
MgS2_id2809_Final_E-3.94.cif,MgS2,-3.9427,1.99,Solar / Visible,P4/nnc,Semiconductor
PSe2_id543_Final_E-3.93.cif,PSe2,-3.9328,0.773,IR / Narrow-Gap,P2,Semiconductor
Sb2Te3As_id514_Final_E-3.93.cif,Sb2Te3As,-3.9294,0.411,IR / Narrow-Gap,P1,Semiconductor
K2Na2SrO36_id433_Final_E-3.93.cif,K2Na2SrO36,-3.9272,0.993,IR / Narrow-Gap,P1,Semiconductor
Si2PSeS_id2583_Final_E-3.92.cif,Si2PSeS,-3.9235,1.316,Solar / Visible,P2/m,Semiconductor
KNaAsS17_id1470_Final_E-3.92.cif,KNaAsS17,-3.9206,1.865,Solar / Visible,P1,Semiconductor
AlGa2SiSe_id2785_Final_E-3.92.cif,AlGa2SiSe,-3.9172,1.012,Solar / Visible,P1,Semiconductor
K3As(SeS)3_id632_Final_E-3.91.cif,K3As(SeS)3,-3.9116,1.386,Solar / Visible,P1,Semiconductor
Mg4AlS3_id1511_Final_E-3.91.cif,Mg4AlS3,-3.9111,0.081,IR / Narrow-Gap,P6_3,Semiconductor
Cd3CO10_id128_Final_E-3.91.cif,Cd3CO10,-3.9064,1.731,Solar / Visible,R32,Semiconductor
CdSi2Ge9S2_id3169_Final_E-3.89.cif,CdSi2Ge9S2,-3.8895,0.712,IR / Narrow-Gap,P1,Semiconductor
TeO_id2965_Final_E-3.89.cif,TeO,-3.8863,2.418,Wide-Gap Power/LED,P6_222,Semiconductor
ZnGeSe2_id552_Final_E-3.88.cif,ZnGeSe2,-3.8798,1.133,Solar / Visible,I-42d,Semiconductor
KZnCdO3_id3071_Final_E-3.88.cif,KZnCdO3,-3.8791,0.421,IR / Narrow-Gap,P2_1/c,Semiconductor
Cd(GaSe2)2_id2968_Final_E-3.87.cif,Cd(GaSe2)2,-3.8747,1.19,Solar / Visible,P-42m,Semiconductor
AsO21_id1604_Final_E-3.87.cif,AsO21,-3.8705,1.025,Solar / Visible,P1,Semiconductor
LiBO_id2740_Final_E-3.86.cif,LiBO,-3.8646,3.305,Wide-Gap Power/LED,P4_2/mmc,Semiconductor
BaSr2NO2_id1642_Final_E-3.86.cif,BaSr2NO2,-3.864,0.07,IR / Narrow-Gap,P1,Semiconductor
ScGeBS18_id146_Final_E-3.86.cif,ScGeBS18,-3.8634,1.783,Solar / Visible,P1,Semiconductor
NaO2_id1705_Final_E-3.86.cif,NaO2,-3.8625,3.146,Wide-Gap Power/LED,Fm-3m,Semiconductor
K2NaO2_id3181_Final_E-3.86.cif,K2NaO2,-3.8599,1.878,Solar / Visible,Pbca,Semiconductor
KTe2(NO2)4_id3185_Final_E-3.86.cif,KTe2(NO2)4,-3.8591,2.214,Wide-Gap Power/LED,P1,Semiconductor
SeS2_id1279_Final_E-3.86.cif,SeS2,-3.857,1.658,Solar / Visible,P3_112,Semiconductor
LiP_id2995_Final_E-3.86.cif,LiP,-3.8569,1.531,Solar / Visible,P1,Semiconductor
LiGeAs_id806_Final_E-3.86.cif,LiGeAs,-3.8569,0.668,IR / Narrow-Gap,P6_522,Semiconductor
SrGaTe2_id213_Final_E-3.86.cif,SrGaTe2,-3.8557,1.337,Solar / Visible,I4_1/amd,Semiconductor
LiBeSiGe2_id2361_Final_E-3.86.cif,LiBeSiGe2,-3.8553,0.182,IR / Narrow-Gap,P-1,Semiconductor
CdPS_id1747_Final_E-3.85.cif,CdPS,-3.8524,1.666,Solar / Visible,P2_1/m,Semiconductor
KNa2GaS6_id679_Final_E-3.85.cif,KNa2GaS6,-3.8489,2.664,Wide-Gap Power/LED,P2,Semiconductor
Ba4Li4SbP21_id2279_Final_E-3.85.cif,Ba4Li4SbP21,-3.8469,2.787,Wide-Gap Power/LED,Pm,Semiconductor
Li3Ge2(AsP)2_id1233_Final_E-3.83.cif,Li3Ge2(AsP)2,-3.8329,1.64,Solar / Visible,P1,Semiconductor
Li2Be3PN2_id226_Final_E-3.82.cif,Li2Be3PN2,-3.8161,1.896,Solar / Visible,P1,Semiconductor
KLiO8_id1130_Final_E-3.81.cif,KLiO8,-3.815,2.735,Wide-Gap Power/LED,P1,Semiconductor
Ba7Ca2N20_id1129_Final_E-3.81.cif,Ba7Ca2N20,-3.8075,2.661,Wide-Gap Power/LED,P1,Semiconductor
Na2PO_id2064_Final_E-3.80.cif,Na2PO,-3.7974,2.356,Wide-Gap Power/LED,P4/mmm,Semiconductor
Li2SbSe2_id449_Final_E-3.79.cif,Li2SbSe2,-3.7893,1.339,Solar / Visible,I4/mmm,Semiconductor
SeS_id1988_Final_E-3.78.cif,SeS,-3.7845,1.634,Solar / Visible,P4/m,Semiconductor
GaAs_id2315_Final_E-3.78.cif,GaAs,-3.7822,0.415,IR / Narrow-Gap,P4_32_12,Semiconductor
CdGa3(Se2S)4_id2020_Final_E-3.77.cif,CdGa3(Se2S)4,-3.7693,0.887,IR / Narrow-Gap,P1,Semiconductor
K2O2_id2723_Final_E-3.76.cif,K2O2,-3.7602,0.43,IR / Narrow-Gap,I4_1/amd,Semiconductor
Ti3Be11ZnB6_id451_Final_E-3.76.cif,Ti3Be11ZnB6,-3.7553,2.262,Wide-Gap Power/LED,Pm,Semiconductor
Na2O_id794_Final_E-3.74.cif,Na2O,-3.7399,1.601,Solar / Visible,Pbca,Semiconductor
ScS36_id2798_Final_E-3.73.cif,ScS36,-3.7316,0.96,IR / Narrow-Gap,P1,Semiconductor
TeS_id869_Final_E-3.73.cif,TeS,-3.7252,0.69,IR / Narrow-Gap,P4/m,Semiconductor
K7S9_id2208_Final_E-3.72.cif,K7S9,-3.7223,1.132,Solar / Visible,P1,Semiconductor
LiSO11_id1792_Final_E-3.70.cif,LiSO11,-3.6994,0.431,IR / Narrow-Gap,P1,Semiconductor
Li8AlGaGe32_id846_Final_E-3.70.cif,Li8AlGaGe32,-3.6982,2.386,Wide-Gap Power/LED,P4/mcc,Semiconductor
InSnTe2_id565_Final_E-3.70.cif,InSnTe2,-3.6974,0.058,IR / Narrow-Gap,I4/mmm,Semiconductor
NaMg2InSe4_id1258_Final_E-3.69.cif,NaMg2InSe4,-3.6925,1.841,Solar / Visible,I-42d,Semiconductor
K2Zn5O4_id3334_Final_E-3.69.cif,K2Zn5O4,-3.6865,0.132,IR / Narrow-Gap,I4/m,Semiconductor
K2Ga2SnSe3_id2456_Final_E-3.68.cif,K2Ga2SnSe3,-3.6845,1.702,Solar / Visible,Pmc2_1,Semiconductor
CaO6_id1740_Final_E-3.68.cif,CaO6,-3.6821,0.415,IR / Narrow-Gap,P1,Semiconductor
Li3GaGeTe4_id3083_Final_E-3.67.cif,Li3GaGeTe4,-3.6741,0.992,IR / Narrow-Gap,P-43m,Semiconductor
LiAlSbS6_id1042_Final_E-3.67.cif,LiAlSbS6,-3.6728,2.041,Wide-Gap Power/LED,Cmme,Semiconductor
MgSe_id2056_Final_E-3.67.cif,MgSe,-3.6704,1.892,Solar / Visible,P4/m,Semiconductor
Li5AsO2_id1533_Final_E-3.67.cif,Li5AsO2,-3.6677,2.865,Wide-Gap Power/LED,P1,Semiconductor
Mg3(Se2S3)2_id2431_Final_E-3.66.cif,Mg3(Se2S3)2,-3.6568,1.792,Solar / Visible,P1,Semiconductor
K3Na5CaSe6_id2554_Final_E-3.65.cif,K3Na5CaSe6,-3.654,1.938,Solar / Visible,P1,Semiconductor
Li6Ti3Ga2_id766_Final_E-3.65.cif,Li6Ti3Ga2,-3.6517,1.329,Solar / Visible,P-1,Semiconductor
KBaSe_id3381_Final_E-3.63.cif,KBaSe,-3.6325,2.036,Wide-Gap Power/LED,C2/m,Semiconductor
ZnTeS2_id2018_Final_E-3.63.cif,ZnTeS2,-3.6271,0.532,IR / Narrow-Gap,P2_1,Semiconductor
KBO32_id299_Final_E-3.63.cif,KBO32,-3.6265,2.207,Wide-Gap Power/LED,P1,Semiconductor
SrS20_id180_Final_E-3.62.cif,SrS20,-3.6208,1.883,Solar / Visible,Pm,Semiconductor
Ba2LiS2O3_id3099_Final_E-3.62.cif,Ba2LiS2O3,-3.6165,0.525,IR / Narrow-Gap,P6_222,Semiconductor
Li7Zn2O9_id15_Final_E-3.60.cif,Li7Zn2O9,-3.605,3.069,Wide-Gap Power/LED,P1,Semiconductor
CdS2N_id1854_Final_E-3.60.cif,CdS2N,-3.6046,1.321,Solar / Visible,Pca2_1,Semiconductor
Na3MgN2_id1621_Final_E-3.58.cif,Na3MgN2,-3.5843,0.515,IR / Narrow-Gap,Pn-3m,Semiconductor
Mg3Te2(SeS6)2_id498_Final_E-3.58.cif,Mg3Te2(SeS6)2,-3.5842,1.748,Solar / Visible,P1,Semiconductor
Li6Al(TeSe)4_id2287_Final_E-3.57.cif,Li6Al(TeSe)4,-3.5694,1.272,Solar / Visible,R3m,Semiconductor
KSO_id1294_Final_E-3.56.cif,KSO,-3.5645,0.762,IR / Narrow-Gap,P-3m1,Semiconductor
LiTeSe_id2297_Final_E-3.55.cif,LiTeSe,-3.5491,1.174,Solar / Visible,P4_32_12,Semiconductor
Zn2Ga2Si2Ge7_id142_Final_E-3.55.cif,Zn2Ga2Si2Ge7,-3.5476,0.791,IR / Narrow-Gap,P1,Semiconductor
Ba(AlS)2_id1912_Final_E-3.54.cif,Ba(AlS)2,-3.5429,2.553,Wide-Gap Power/LED,Pn-3m,Semiconductor
GeSe3O2_id686_Final_E-3.50.cif,GeSe3O2,-3.4953,1.043,Solar / Visible,Pm,Semiconductor
TiPO8_id3377_Final_E-3.48.cif,TiPO8,-3.4848,1.172,Solar / Visible,P1,Semiconductor
K3BaLi3Se4_id1153_Final_E-3.48.cif,K3BaLi3Se4,-3.4751,1.932,Solar / Visible,Pm-3n,Semiconductor
MgS_id2898_Final_E-3.47.cif,MgS,-3.4672,1.583,Solar / Visible,Pm,Semiconductor
ZnInTe2Se3_id300_Final_E-3.47.cif,ZnInTe2Se3,-3.4656,0.633,IR / Narrow-Gap,Pm,Semiconductor
LiTe_id522_Final_E-3.44.cif,LiTe,-3.4398,0.295,IR / Narrow-Gap,Pbca,Semiconductor
NaTeSe_id2087_Final_E-3.44.cif,NaTeSe,-3.4376,0.603,IR / Narrow-Gap,Aea2,Semiconductor
Li3Te2_id2900_Final_E-3.44.cif,Li3Te2,-3.4364,1.065,Solar / Visible,P-42_1m,Semiconductor
MgP_id3175_Final_E-3.43.cif,MgP,-3.4349,0.469,IR / Narrow-Gap,P222,Semiconductor
K2SbTe4_id752_Final_E-3.43.cif,K2SbTe4,-3.4289,0.292,IR / Narrow-Gap,P1,Semiconductor
SrTiC2_id2125_Final_E-3.42.cif,SrTiC2,-3.4242,0.818,IR / Narrow-Gap,I4_1/amd,Semiconductor
InO20_id2609_Final_E-3.42.cif,InO20,-3.4158,1.328,Solar / Visible,P1,Semiconductor
KInTe4_id3117_Final_E-3.40.cif,KInTe4,-3.3993,0.429,IR / Narrow-Gap,I-42d,Semiconductor
MgTe_id1623_Final_E-3.39.cif,MgTe,-3.3891,1.756,Solar / Visible,Aea2,Semiconductor
Ca4Al(TeSe2)3_id1662_Final_E-3.39.cif,Ca4Al(TeSe2)3,-3.3859,0.311,IR / Narrow-Gap,Im-3m,Semiconductor
Li3ScAs_id1624_Final_E-3.38.cif,Li3ScAs,-3.3811,0.254,IR / Narrow-Gap,Pm-3m,Semiconductor
Ge6Te3As3Se7_id899_Final_E-3.38.cif,Ge6Te3As3Se7,-3.3768,1.269,Solar / Visible,P1,Semiconductor
Al9Ga2_id2773_Final_E-3.37.cif,Al9Ga2,-3.3654,3.26,Wide-Gap Power/LED,P1,Semiconductor
BaAs(Se4S3)2_id1932_Final_E-3.36.cif,BaAs(Se4S3)2,-3.3634,1.161,Solar / Visible,Cmc2_1,Semiconductor
MgGaP_id693_Final_E-3.35.cif,MgGaP,-3.3512,0.257,IR / Narrow-Gap,P2_1,Semiconductor
K2Na2AsS4_id468_Final_E-3.34.cif,K2Na2AsS4,-3.3369,2.721,Wide-Gap Power/LED,P1,Semiconductor
KS_id2375_Final_E-3.34.cif,KS,-3.3365,2.368,Wide-Gap Power/LED,P1,Semiconductor
ZnTeAsSe_id2222_Final_E-3.34.cif,ZnTeAsSe,-3.3364,0.203,IR / Narrow-Gap,P1,Semiconductor
KCd(Te2Se)2_id1806_Final_E-3.34.cif,KCd(Te2Se)2,-3.335,0.571,IR / Narrow-Gap,P1,Semiconductor
Ti3Zn3Sn3Te16_id3058_Final_E-3.31.cif,Ti3Zn3Sn3Te16,-3.3075,0.678,IR / Narrow-Gap,P6_3/m,Semiconductor
BaLi8TiTe4_id2544_Final_E-3.31.cif,BaLi8TiTe4,-3.3064,1.149,Solar / Visible,I222,Semiconductor
ScZn6(SeS3)2_id68_Final_E-3.30.cif,ScZn6(SeS3)2,-3.3024,1.334,Solar / Visible,P1,Semiconductor
K2MgZnSi4_id231_Final_E-3.29.cif,K2MgZnSi4,-3.2862,0.599,IR / Narrow-Gap,P3_121,Semiconductor
MgSi_id1449_Final_E-3.28.cif,MgSi,-3.2783,0.396,IR / Narrow-Gap,I4_1/amd,Semiconductor
KGaSeS2_id279_Final_E-3.27.cif,KGaSeS2,-3.274,1.133,Solar / Visible,P1,Semiconductor
ZnSe2_id1555_Final_E-3.27.cif,ZnSe2,-3.2736,0.083,IR / Narrow-Gap,Pnnn,Semiconductor
Zn2O_id3239_Final_E-3.27.cif,Zn2O,-3.2717,0.333,IR / Narrow-Gap,P2_1/c,Semiconductor
Ti2O5_id1633_Final_E-3.27.cif,Ti2O5,-3.2662,0.555,IR / Narrow-Gap,Cm,Semiconductor
Na9Te4SeS4_id536_Final_E-3.27.cif,Na9Te4SeS4,-3.2657,1.476,Solar / Visible,I4,Semiconductor
Li28BAsO8_id2539_Final_E-3.25.cif,Li28BAsO8,-3.2528,3.227,Wide-Gap Power/LED,Pm,Semiconductor
Li4GeAs_id3189_Final_E-3.25.cif,Li4GeAs,-3.2521,0.766,IR / Narrow-Gap,P1,Semiconductor
Ti3Zn5O2_id2831_Final_E-3.25.cif,Ti3Zn5O2,-3.2499,0.052,IR / Narrow-Gap,P1,Semiconductor
Mg(GaGe)2_id612_Final_E-3.25.cif,Mg(GaGe)2,-3.2484,2.137,Wide-Gap Power/LED,P4_332,Semiconductor
K2Li(TiBe)2_id2519_Final_E-3.24.cif,K2Li(TiBe)2,-3.2408,2.914,Wide-Gap Power/LED,P-1,Semiconductor
LiGa6(SiAs)2_id1942_Final_E-3.23.cif,LiGa6(SiAs)2,-3.229,2.637,Wide-Gap Power/LED,P4/mnc,Semiconductor
K3AlSn3As4_id2038_Final_E-3.22.cif,K3AlSn3As4,-3.2198,0.296,IR / Narrow-Gap,P1,Semiconductor
K2Ca(GaGe)4_id1166_Final_E-3.21.cif,K2Ca(GaGe)4,-3.2124,0.184,IR / Narrow-Gap,Fdd2,Semiconductor
Na24B(PO)12_id885_Final_E-3.16.cif,Na24B(PO)12,-3.161,2.336,Wide-Gap Power/LED,I432,Semiconductor
Sb2AsSe2_id1327_Final_E-3.15.cif,Sb2AsSe2,-3.1518,2.254,Wide-Gap Power/LED,P1,Semiconductor
KLiNO_id1464_Final_E-3.14.cif,KLiNO,-3.1375,0.938,IR / Narrow-Gap,P1,Semiconductor
Na2Se_id2010_Final_E-3.13.cif,Na2Se,-3.1313,0.174,IR / Narrow-Gap,I4/m,Semiconductor
Li7Ca3(SiAs)3_id330_Final_E-3.12.cif,Li7Ca3(SiAs)3,-3.1209,1.127,Solar / Visible,P31m,Semiconductor
TiGa(Te6S)2_id2117_Final_E-3.12.cif,TiGa(Te6S)2,-3.1175,2.253,Wide-Gap Power/LED,P1,Semiconductor
KCd2Te4As_id29_Final_E-3.11.cif,KCd2Te4As,-3.1147,0.932,IR / Narrow-Gap,I-42m,Semiconductor
Mg2S_id456_Final_E-3.11.cif,Mg2S,-3.111,1.428,Solar / Visible,Cm,Semiconductor
Zn4Ga3S4_id1418_Final_E-3.11.cif,Zn4Ga3S4,-3.108,0.081,IR / Narrow-Gap,P2_1,Semiconductor
Sc3Ti9O11_id499_Final_E-3.10.cif,Sc3Ti9O11,-3.1013,0.305,IR / Narrow-Gap,P1,Semiconductor
K9GeO13_id3158_Final_E-3.10.cif,K9GeO13,-3.096,1.498,Solar / Visible,P1,Semiconductor
K5NaInO6_id713_Final_E-3.09.cif,K5NaInO6,-3.0935,2.804,Wide-Gap Power/LED,P1,Semiconductor
BaNa(SO45)2_id926_Final_E-3.08.cif,BaNa(SO45)2,-3.0838,0.191,IR / Narrow-Gap,P-3,Semiconductor
KSb_id2937_Final_E-3.08.cif,KSb,-3.0814,0.503,IR / Narrow-Gap,P-1,Semiconductor
InAs_id1352_Final_E-3.08.cif,InAs,-3.078,0.161,IR / Narrow-Gap,Pmna,Semiconductor
MgSnSb_id1252_Final_E-3.06.cif,MgSnSb,-3.0638,2.064,Wide-Gap Power/LED,P1,Semiconductor
K2GaSnAs_id2172_Final_E-3.05.cif,K2GaSnAs,-3.0497,0.737,IR / Narrow-Gap,P2/c,Semiconductor
Zn3CdGaO13_id19_Final_E-3.00.cif,Zn3CdGaO13,-3.0005,1.107,Solar / Visible,P1,Semiconductor
K3Sr6Mg2O6_id3030_Final_E-2.99.cif,K3Sr6Mg2O6,-2.9902,2.685,Wide-Gap Power/LED,P1,Semiconductor
NaLiGaSb_id1439_Final_E-2.98.cif,NaLiGaSb,-2.9783,0.951,IR / Narrow-Gap,P3m1,Semiconductor
KLiP_id1053_Final_E-2.98.cif,KLiP,-2.9758,1.259,Solar / Visible,P4_2/m,Semiconductor
Al2CdGa6Sn5_id1715_Final_E-2.97.cif,Al2CdGa6Sn5,-2.9717,0.524,IR / Narrow-Gap,P1,Semiconductor
Na2Li4AlP2_id994_Final_E-2.92.cif,Na2Li4AlP2,-2.917,0.239,IR / Narrow-Gap,P2_1,Semiconductor
Ba4Sb_id494_Final_E-2.91.cif,Ba4Sb,-2.9133,0.15,IR / Narrow-Gap,P4_2/nmc,Semiconductor
K7NaO4_id1789_Final_E-2.85.cif,K7NaO4,-2.8476,2.914,Wide-Gap Power/LED,P1,Semiconductor
Na4As3_id2026_Final_E-2.80.cif,Na4As3,-2.7972,1.195,Solar / Visible,I-43d,Semiconductor
K6SiSn6_id254_Final_E-2.77.cif,K6SiSn6,-2.7747,1.194,Solar / Visible,P1,Semiconductor
K4P3_id3297_Final_E-2.73.cif,K4P3,-2.7317,1.103,Solar / Visible,I-43d,Semiconductor
InSn16Ge3_id694_Final_E-2.73.cif,InSn16Ge3,-2.7293,1.23,Solar / Visible,P1,Semiconductor
Mg4Al8Ga4Si5_id830_Final_E-2.71.cif,Mg4Al8Ga4Si5,-2.7086,1.505,Solar / Visible,Cccm,Semiconductor
K11Na4O5_id557_Final_E-2.71.cif,K11Na4O5,-2.7054,0.723,IR / Narrow-Gap,P2_12_12,Semiconductor
NaLi3P_id76_Final_E-2.70.cif,NaLi3P,-2.7019,0.981,IR / Narrow-Gap,Pc,Semiconductor
Li7Sc2_id2510_Final_E-2.70.cif,Li7Sc2,-2.6953,0.294,IR / Narrow-Gap,P1,Semiconductor
CNO_id634_Final_E-2.67.cif,CNO,-2.6745,1.471,Solar / Visible,P-6m2,Semiconductor
K2SnGe_id2973_Final_E-2.65.cif,K2SnGe,-2.6489,0.311,IR / Narrow-Gap,Pmmn,Semiconductor
Li2Be5(Al2B)2_id2986_Final_E-2.65.cif,Li2Be5(Al2B)2,-2.6488,0.134,IR / Narrow-Gap,P1,Semiconductor
ZnCdSeS_id1199_Final_E-2.62.cif,ZnCdSeS,-2.6225,1.557,Solar / Visible,P1,Semiconductor
Li(ZnGe)3_id372_Final_E-2.62.cif,Li(ZnGe)3,-2.6211,0.287,IR / Narrow-Gap,Pm-3n,Semiconductor
NaIn5_id3062_Final_E-2.61.cif,NaIn5,-2.6134,1.296,Solar / Visible,I4/mmm,Semiconductor
Li6MgNO16_id1659_Final_E-2.57.cif,Li6MgNO16,-2.5749,2.556,Wide-Gap Power/LED,Pm,Semiconductor
KNaAs_id1426_Final_E-2.57.cif,KNaAs,-2.5714,0.935,IR / Narrow-Gap,P-6m2,Semiconductor
LiAs24_id263_Final_E-2.53.cif,LiAs24,-2.5267,0.291,IR / Narrow-Gap,P1,Semiconductor
KLiGa3_id1014_Final_E-2.52.cif,KLiGa3,-2.5227,0.269,IR / Narrow-Gap,P6_5,Semiconductor
Zn3O_id490_Final_E-2.52.cif,Zn3O,-2.5186,0.761,IR / Narrow-Gap,P4_132,Semiconductor
Mg4Ge3_id2725_Final_E-2.52.cif,Mg4Ge3,-2.5167,0.235,IR / Narrow-Gap,Ccce,Semiconductor
