file_name,formula,energy,bandgap,type,space_group_symbol,space_group_number,num_atoms,Application_Class
Li3ScSb3S4_id1992_Final_E-4.38.cif,Li3ScSb3S4,-4.3785,0.221,Semiconductor,Pm-3n,223,22,IR / Narrow-Gap
ZnO2_id2989_Final_E-4.36.cif,ZnO2,-4.36,1.255,Semiconductor,Fm-3m,225,12,Solar / Visible
MgZnGa2S13_id1157_Final_E-4.36.cif,MgZnGa2S13,-4.3592,3.375,Semiconductor,P1,1,68,Wide-Gap Power/LED
AlSi_id1487_Final_E-4.36.cif,AlSi,-4.3586,0.639,Semiconductor,Pbca,61,16,IR / Narrow-Gap
AlAs2_id478_Final_E-4.36.cif,AlAs2,-4.358,0.144,Semiconductor,I4_1cd,110,48,IR / Narrow-Gap
Li2Be2Si5P_id3065_Final_E-4.35.cif,Li2Be2Si5P,-4.3547,2.802,Semiconductor,P1,1,40,Wide-Gap Power/LED
As2Se_id3038_Final_E-4.32.cif,As2Se,-4.3222,1.016,Semiconductor,Pbcn,60,12,Solar / Visible
LiAs4(Se2S)2_id3237_Final_E-4.32.cif,LiAs4(Se2S)2,-4.319,0.243,Semiconductor,I4/m,87,22,IR / Narrow-Gap
BaP_id1447_Final_E-4.32.cif,BaP,-4.3155,0.857,Semiconductor,P1,1,40,IR / Narrow-Gap
Na(PSe2)2_id1955_Final_E-4.31.cif,Na(PSe2)2,-4.3138,0.963,Semiconductor,P-42m,111,7,IR / Narrow-Gap
Ba2Li(SnSe)2_id871_Final_E-4.31.cif,Ba2Li(SnSe)2,-4.3113,0.691,Semiconductor,P-42_1m,113,14,IR / Narrow-Gap
SeS4O_id2233_Final_E-4.31.cif,SeS4O,-4.3051,1.481,Semiconductor,Pm,6,6,Solar / Visible
Ca2In2PS7_id340_Final_E-4.29.cif,Ca2In2PS7,-4.2888,1.937,Semiconductor,Pm,6,24,Solar / Visible
Ba3Sb4As4S3_id1298_Final_E-4.29.cif,Ba3Sb4As4S3,-4.2861,1.448,Semiconductor,P6_3,173,28,Solar / Visible
ScSi2_id782_Final_E-4.28.cif,ScSi2,-4.2824,0.241,Semiconductor,Pn-3m,224,6,IR / Narrow-Gap
Be4GeCS2_id1762_Final_E-4.28.cif,Be4GeCS2,-4.2779,0.368,Semiconductor,Fd-3m,227,64,IR / Narrow-Gap
KCaO3_id2789_Final_E-4.28.cif,KCaO3,-4.276,0.162,Semiconductor,Pm-3m,221,5,IR / Narrow-Gap
BaCa2(NO6)2_id1766_Final_E-4.25.cif,BaCa2(NO6)2,-4.2535,2.75,Semiconductor,P1,1,34,Wide-Gap Power/LED
AsS3_id2012_Final_E-4.24.cif,AsS3,-4.243,1.251,Semiconductor,Pm,6,8,Solar / Visible
Ba2Sn(NO)2_id2613_Final_E-4.24.cif,Ba2Sn(NO)2,-4.2406,1.503,Semiconductor,P1,1,28,Solar / Visible
BaO2_id1807_Final_E-4.22.cif,BaO2,-4.2185,0.208,Semiconductor,P-6m2,187,3,IR / Narrow-Gap
MgS_id265_Final_E-4.21.cif,MgS,-4.2098,2.486,Semiconductor,Pccm,49,8,Wide-Gap Power/LED
KBeO2_id555_Final_E-4.20.cif,KBeO2,-4.2027,2.944,Semiconductor,Fm-3m,225,16,Wide-Gap Power/LED
NaSi3(GeTe)3_id652_Final_E-4.19.cif,NaSi3(GeTe)3,-4.1929,0.064,Semiconductor,P-1,2,60,IR / Narrow-Gap
SnSb2Se5_id1142_Final_E-4.19.cif,SnSb2Se5,-4.1869,0.519,Semiconductor,P1,1,32,IR / Narrow-Gap
GeS10_id999_Final_E-4.17.cif,GeS10,-4.1715,1.702,Semiconductor,P1,1,11,Solar / Visible
Li3AlSbSe4_id1065_Final_E-4.17.cif,Li3AlSbSe4,-4.1692,1.177,Semiconductor,P-43m,215,9,Solar / Visible
InSiS19_id120_Final_E-4.15.cif,InSiS19,-4.1545,1.076,Semiconductor,P1,1,21,Solar / Visible
KLi3Se3O4_id1728_Final_E-4.15.cif,KLi3Se3O4,-4.1501,2.496,Semiconductor,Pm-3n,223,22,Wide-Gap Power/LED
LiSe2O3_id390_Final_E-4.15.cif,LiSe2O3,-4.1479,2.943,Semiconductor,P1,1,24,Wide-Gap Power/LED
InSi4_id2618_Final_E-4.15.cif,InSi4,-4.1454,1.868,Semiconductor,C2/c,15,20,Solar / Visible
Li5S6_id2423_Final_E-4.12.cif,Li5S6,-4.1239,1.892,Semiconductor,P1,1,22,Solar / Visible
GeAs2Se7_id1066_Final_E-4.11.cif,GeAs2Se7,-4.1118,1.033,Semiconductor,P2/m,10,10,Solar / Visible
Li2AlGaSe4_id434_Final_E-4.11.cif,Li2AlGaSe4,-4.1116,1.676,Semiconductor,I-42d,122,32,Solar / Visible
AsS4O_id3129_Final_E-4.11.cif,AsS4O,-4.1095,2.609,Semiconductor,P1,1,24,Wide-Gap Power/LED
BaSrSnN_id1685_Final_E-4.11.cif,BaSrSnN,-4.1071,0.541,Semiconductor,C2/m,12,32,IR / Narrow-Gap
KIn(SeO4)2_id2942_Final_E-4.11.cif,KIn(SeO4)2,-4.1053,1.989,Semiconductor,P-1,2,12,Solar / Visible
CaZn4CdO4_id1504_Final_E-4.09.cif,CaZn4CdO4,-4.0938,0.276,Semiconductor,P4bm,100,20,IR / Narrow-Gap
AsS5_id2407_Final_E-4.09.cif,AsS5,-4.0927,0.624,Semiconductor,P2,3,24,IR / Narrow-Gap
LiTi2(Se3S5)2_id3198_Final_E-4.09.cif,LiTi2(Se3S5)2,-4.087,1.61,Semiconductor,Pm,6,76,Solar / Visible
Ti2O45_id2832_Final_E-4.08.cif,Ti2O45,-4.083,0.199,Semiconductor,P2/c,13,94,IR / Narrow-Gap
KMg(TeO)4_id722_Final_E-4.08.cif,KMg(TeO)4,-4.0809,1.826,Semiconductor,Pban,50,20,Solar / Visible
LiZn2O8_id774_Final_E-4.07.cif,LiZn2O8,-4.0721,0.118,Semiconductor,Pm,6,22,IR / Narrow-Gap
SnO8_id2712_Final_E-4.06.cif,SnO8,-4.0637,0.072,Semiconductor,Fm-3m,225,36,IR / Narrow-Gap
K11In3(BO)6_id2455_Final_E-4.06.cif,K11In3(BO)6,-4.0624,0.387,Semiconductor,P-31c,163,52,IR / Narrow-Gap
KZn2O4_id2323_Final_E-4.06.cif,KZn2O4,-4.0576,2.916,Semiconductor,P-42_1m,113,14,Wide-Gap Power/LED
Li2SeS2_id1596_Final_E-4.05.cif,Li2SeS2,-4.0532,1.808,Semiconductor,P4_32_12,96,20,Solar / Visible
KAs4_id1694_Final_E-4.05.cif,KAs4,-4.0527,0.755,Semiconductor,P4_122,91,20,IR / Narrow-Gap
Li2S_id2313_Final_E-4.04.cif,Li2S,-4.0417,2.292,Semiconductor,Pbcn,60,12,Wide-Gap Power/LED
LiSeS_id1057_Final_E-4.04.cif,LiSeS,-4.0401,1.625,Semiconductor,P1,1,12,Solar / Visible
Al3ZnInS4_id2097_Final_E-4.03.cif,Al3ZnInS4,-4.0319,0.252,Semiconductor,P-43m,215,9,IR / Narrow-Gap
Na2LiS4_id1767_Final_E-4.03.cif,Na2LiS4,-4.0317,2.204,Semiconductor,P-1,2,14,Wide-Gap Power/LED
Sr2N8O17_id1446_Final_E-4.03.cif,Sr2N8O17,-4.0308,0.319,Semiconductor,P1,1,54,IR / Narrow-Gap
K(CaSi2)2_id2763_Final_E-4.03.cif,K(CaSi2)2,-4.0302,0.784,Semiconductor,Iba2,45,28,IR / Narrow-Gap
K3Ge(Se4S3)2_id3235_Final_E-4.02.cif,K3Ge(Se4S3)2,-4.021,1.152,Semiconductor,P1,1,18,Solar / Visible
LiAl(GaN)2_id2497_Final_E-4.00.cif,LiAl(GaN)2,-4.0003,2.011,Semiconductor,P1,1,18,Wide-Gap Power/LED
NaMgS12_id1557_Final_E-4.00.cif,NaMgS12,-3.9987,1.814,Semiconductor,Fd-3,203,112,Solar / Visible
MgSc2_id162_Final_E-3.99.cif,MgSc2,-3.994,0.269,Semiconductor,P1,1,18,IR / Narrow-Gap
Ge2N5O11_id953_Final_E-3.99.cif,Ge2N5O11,-3.9912,0.652,Semiconductor,P1,1,36,IR / Narrow-Gap
K4Si2PO2_id1158_Final_E-3.99.cif,K4Si2PO2,-3.9909,0.944,Semiconductor,P-42m,111,9,IR / Narrow-Gap
CaCNO6_id1398_Final_E-3.99.cif,CaCNO6,-3.9862,3.415,Semiconductor,P1,1,18,Wide-Gap Power/LED
KInSbSe8_id1343_Final_E-3.98.cif,KInSbSe8,-3.9765,0.452,Semiconductor,Pmm2,25,11,IR / Narrow-Gap
Na4SiS6_id253_Final_E-3.97.cif,Na4SiS6,-3.965,1.718,Semiconductor,P1,1,22,Solar / Visible
As2PSeS16_id949_Final_E-3.96.cif,As2PSeS16,-3.9643,1.872,Semiconductor,P1,1,40,Solar / Visible
Se2S5_id1072_Final_E-3.96.cif,Se2S5,-3.9598,2.051,Semiconductor,Pba2,32,14,Wide-Gap Power/LED
K3O4_id733_Final_E-3.96.cif,K3O4,-3.9577,2.392,Semiconductor,I-43d,220,28,Wide-Gap Power/LED
LiSeS_id3343_Final_E-3.95.cif,LiSeS,-3.9491,0.832,Semiconductor,Pcc2,27,12,IR / Narrow-Gap
ScCd4O24_id3213_Final_E-3.94.cif,ScCd4O24,-3.9433,1.846,Semiconductor,P1,1,29,Solar / Visible
MgS2_id2809_Final_E-3.94.cif,MgS2,-3.9427,1.99,Semiconductor,P4/nnc,126,24,Solar / Visible
PSe2_id543_Final_E-3.93.cif,PSe2,-3.9328,0.773,Semiconductor,P2,3,24,IR / Narrow-Gap
Sb2Te3As_id514_Final_E-3.93.cif,Sb2Te3As,-3.9294,0.411,Semiconductor,P1,1,12,IR / Narrow-Gap
K2Na2SrO36_id433_Final_E-3.93.cif,K2Na2SrO36,-3.9272,0.993,Semiconductor,P1,1,82,IR / Narrow-Gap
Si2PSeS_id2583_Final_E-3.92.cif,Si2PSeS,-3.9235,1.316,Semiconductor,P2/m,10,5,Solar / Visible
KNaAsS17_id1470_Final_E-3.92.cif,KNaAsS17,-3.9206,1.865,Semiconductor,P1,1,80,Solar / Visible
AlGa2SiSe_id2785_Final_E-3.92.cif,AlGa2SiSe,-3.9172,1.012,Semiconductor,P1,1,30,Solar / Visible
K3As(SeS)3_id632_Final_E-3.91.cif,K3As(SeS)3,-3.9116,1.386,Semiconductor,P1,1,60,Solar / Visible
Mg4AlS3_id1511_Final_E-3.91.cif,Mg4AlS3,-3.9111,0.081,Semiconductor,P6_3,173,16,IR / Narrow-Gap
Cd3CO10_id128_Final_E-3.91.cif,Cd3CO10,-3.9064,1.731,Semiconductor,R32,155,42,Solar / Visible
CdSi2Ge9S2_id3169_Final_E-3.89.cif,CdSi2Ge9S2,-3.8895,0.712,Semiconductor,P1,1,28,IR / Narrow-Gap
TeO_id2965_Final_E-3.89.cif,TeO,-3.8863,2.418,Semiconductor,P6_222,180,12,Wide-Gap Power/LED
ZnGeSe2_id552_Final_E-3.88.cif,ZnGeSe2,-3.8798,1.133,Semiconductor,I-42d,122,16,Solar / Visible
KZnCdO3_id3071_Final_E-3.88.cif,KZnCdO3,-3.8791,0.421,Semiconductor,P2_1/c,14,48,IR / Narrow-Gap
Cd(GaSe2)2_id2968_Final_E-3.87.cif,Cd(GaSe2)2,-3.8747,1.19,Semiconductor,P-42m,111,7,Solar / Visible
AsO21_id1604_Final_E-3.87.cif,AsO21,-3.8705,1.025,Semiconductor,P1,1,44,Solar / Visible
LiBO_id2740_Final_E-3.86.cif,LiBO,-3.8646,3.305,Semiconductor,P4_2/mmc,131,6,Wide-Gap Power/LED
BaSr2NO2_id1642_Final_E-3.86.cif,BaSr2NO2,-3.864,0.07,Semiconductor,P1,1,24,IR / Narrow-Gap
ScGeBS18_id146_Final_E-3.86.cif,ScGeBS18,-3.8634,1.783,Semiconductor,P1,1,21,Solar / Visible
NaO2_id1705_Final_E-3.86.cif,NaO2,-3.8625,3.146,Semiconductor,Fm-3m,225,12,Wide-Gap Power/LED
K2NaO2_id3181_Final_E-3.86.cif,K2NaO2,-3.8599,1.878,Semiconductor,Pbca,61,20,Solar / Visible
KTe2(NO2)4_id3185_Final_E-3.86.cif,KTe2(NO2)4,-3.8591,2.214,Semiconductor,P1,1,60,Wide-Gap Power/LED
SeS2_id1279_Final_E-3.86.cif,SeS2,-3.857,1.658,Semiconductor,P3_112,151,9,Solar / Visible
LiP_id2995_Final_E-3.86.cif,LiP,-3.8569,1.531,Semiconductor,P1,1,32,Solar / Visible
LiGeAs_id806_Final_E-3.86.cif,LiGeAs,-3.8569,0.668,Semiconductor,P6_522,179,18,IR / Narrow-Gap
SrGaTe2_id213_Final_E-3.86.cif,SrGaTe2,-3.8557,1.337,Semiconductor,I4_1/amd,141,16,Solar / Visible
LiBeSiGe2_id2361_Final_E-3.86.cif,LiBeSiGe2,-3.8553,0.182,Semiconductor,P-1,2,10,IR / Narrow-Gap
CdPS_id1747_Final_E-3.85.cif,CdPS,-3.8524,1.666,Semiconductor,P2_1/m,11,12,Solar / Visible
KNa2GaS6_id679_Final_E-3.85.cif,KNa2GaS6,-3.8489,2.664,Semiconductor,P2,3,40,Wide-Gap Power/LED
Ba4Li4SbP21_id2279_Final_E-3.85.cif,Ba4Li4SbP21,-3.8469,2.787,Semiconductor,Pm,6,60,Wide-Gap Power/LED
Li3Ge2(AsP)2_id1233_Final_E-3.83.cif,Li3Ge2(AsP)2,-3.8329,1.64,Semiconductor,P1,1,18,Solar / Visible
Li2Be3PN2_id226_Final_E-3.82.cif,Li2Be3PN2,-3.8161,1.896,Semiconductor,P1,1,32,Solar / Visible
KLiO8_id1130_Final_E-3.81.cif,KLiO8,-3.815,2.735,Semiconductor,P1,1,20,Wide-Gap Power/LED
Ba7Ca2N20_id1129_Final_E-3.81.cif,Ba7Ca2N20,-3.8075,2.661,Semiconductor,P1,1,29,Wide-Gap Power/LED
Na2PO_id2064_Final_E-3.80.cif,Na2PO,-3.7974,2.356,Semiconductor,P4/mmm,123,16,Wide-Gap Power/LED
Li2SbSe2_id449_Final_E-3.79.cif,Li2SbSe2,-3.7893,1.339,Semiconductor,I4/mmm,139,10,Solar / Visible
SeS_id1988_Final_E-3.78.cif,SeS,-3.7845,1.634,Semiconductor,P4/m,83,8,Solar / Visible
GaAs_id2315_Final_E-3.78.cif,GaAs,-3.7822,0.415,Semiconductor,P4_32_12,96,8,IR / Narrow-Gap
CdGa3(Se2S)4_id2020_Final_E-3.77.cif,CdGa3(Se2S)4,-3.7693,0.887,Semiconductor,P1,1,32,IR / Narrow-Gap
K2O2_id2723_Final_E-3.76.cif,K2O2,-3.7602,0.43,Semiconductor,I4_1/amd,141,8,IR / Narrow-Gap
Ti3Be11ZnB6_id451_Final_E-3.76.cif,Ti3Be11ZnB6,-3.7553,2.262,Semiconductor,Pm,6,84,Wide-Gap Power/LED
Na2O_id794_Final_E-3.74.cif,Na2O,-3.7399,1.601,Semiconductor,Pbca,61,12,Solar / Visible
ScS36_id2798_Final_E-3.73.cif,ScS36,-3.7316,0.96,Semiconductor,P1,1,74,IR / Narrow-Gap
TeS_id869_Final_E-3.73.cif,TeS,-3.7252,0.69,Semiconductor,P4/m,83,8,IR / Narrow-Gap
K7S9_id2208_Final_E-3.72.cif,K7S9,-3.7223,1.132,Semiconductor,P1,1,16,Solar / Visible
LiSO11_id1792_Final_E-3.70.cif,LiSO11,-3.6994,0.431,Semiconductor,P1,1,26,IR / Narrow-Gap
Li8AlGaGe32_id846_Final_E-3.70.cif,Li8AlGaGe32,-3.6982,2.386,Semiconductor,P4/mcc,124,84,Wide-Gap Power/LED
InSnTe2_id565_Final_E-3.70.cif,InSnTe2,-3.6974,0.058,Semiconductor,I4/mmm,139,8,IR / Narrow-Gap
NaMg2InSe4_id1258_Final_E-3.69.cif,NaMg2InSe4,-3.6925,1.841,Semiconductor,I-42d,122,32,Solar / Visible
K2Zn5O4_id3334_Final_E-3.69.cif,K2Zn5O4,-3.6865,0.132,Semiconductor,I4/m,87,22,IR / Narrow-Gap
K2Ga2SnSe3_id2456_Final_E-3.68.cif,K2Ga2SnSe3,-3.6845,1.702,Semiconductor,Pmc2_1,26,16,Solar / Visible
CaO6_id1740_Final_E-3.68.cif,CaO6,-3.6821,0.415,Semiconductor,P1,1,7,IR / Narrow-Gap
Li3GaGeTe4_id3083_Final_E-3.67.cif,Li3GaGeTe4,-3.6741,0.992,Semiconductor,P-43m,215,9,IR / Narrow-Gap
LiAlSbS6_id1042_Final_E-3.67.cif,LiAlSbS6,-3.6728,2.041,Semiconductor,Cmme,67,36,Wide-Gap Power/LED
MgSe_id2056_Final_E-3.67.cif,MgSe,-3.6704,1.892,Semiconductor,P4/m,83,8,Solar / Visible
Li5AsO2_id1533_Final_E-3.67.cif,Li5AsO2,-3.6677,2.865,Semiconductor,P1,1,16,Wide-Gap Power/LED
Mg3(Se2S3)2_id2431_Final_E-3.66.cif,Mg3(Se2S3)2,-3.6568,1.792,Semiconductor,P1,1,26,Solar / Visible
K3Na5CaSe6_id2554_Final_E-3.65.cif,K3Na5CaSe6,-3.654,1.938,Semiconductor,P1,1,45,Solar / Visible
Li6Ti3Ga2_id766_Final_E-3.65.cif,Li6Ti3Ga2,-3.6517,1.329,Semiconductor,P-1,2,22,Solar / Visible
KBaSe_id3381_Final_E-3.63.cif,KBaSe,-3.6325,2.036,Semiconductor,C2/m,12,12,Wide-Gap Power/LED
ZnTeS2_id2018_Final_E-3.63.cif,ZnTeS2,-3.6271,0.532,Semiconductor,P2_1,4,8,IR / Narrow-Gap
KBO32_id299_Final_E-3.63.cif,KBO32,-3.6265,2.207,Semiconductor,P1,1,68,Wide-Gap Power/LED
SrS20_id180_Final_E-3.62.cif,SrS20,-3.6208,1.883,Semiconductor,Pm,6,84,Solar / Visible
Ba2LiS2O3_id3099_Final_E-3.62.cif,Ba2LiS2O3,-3.6165,0.525,Semiconductor,P6_222,180,24,IR / Narrow-Gap
Li7Zn2O9_id15_Final_E-3.60.cif,Li7Zn2O9,-3.605,3.069,Semiconductor,P1,1,18,Wide-Gap Power/LED
CdS2N_id1854_Final_E-3.60.cif,CdS2N,-3.6046,1.321,Semiconductor,Pca2_1,29,16,Solar / Visible
Na3MgN2_id1621_Final_E-3.58.cif,Na3MgN2,-3.5843,0.515,Semiconductor,Pn-3m,224,12,IR / Narrow-Gap
Mg3Te2(SeS6)2_id498_Final_E-3.58.cif,Mg3Te2(SeS6)2,-3.5842,1.748,Semiconductor,P1,1,38,Solar / Visible
Li6Al(TeSe)4_id2287_Final_E-3.57.cif,Li6Al(TeSe)4,-3.5694,1.272,Semiconductor,R3m,160,15,Solar / Visible
KSO_id1294_Final_E-3.56.cif,KSO,-3.5645,0.762,Semiconductor,P-3m1,164,6,IR / Narrow-Gap
LiTeSe_id2297_Final_E-3.55.cif,LiTeSe,-3.5491,1.174,Semiconductor,P4_32_12,96,24,Solar / Visible
Zn2Ga2Si2Ge7_id142_Final_E-3.55.cif,Zn2Ga2Si2Ge7,-3.5476,0.791,Semiconductor,P1,1,52,IR / Narrow-Gap
Ba(AlS)2_id1912_Final_E-3.54.cif,Ba(AlS)2,-3.5429,2.553,Semiconductor,Pn-3m,224,10,Wide-Gap Power/LED
GeSe3O2_id686_Final_E-3.50.cif,GeSe3O2,-3.4953,1.043,Semiconductor,Pm,6,12,Solar / Visible
TiPO8_id3377_Final_E-3.48.cif,TiPO8,-3.4848,1.172,Semiconductor,P1,1,20,Solar / Visible
K3BaLi3Se4_id1153_Final_E-3.48.cif,K3BaLi3Se4,-3.4751,1.932,Semiconductor,Pm-3n,223,22,Solar / Visible
MgS_id2898_Final_E-3.47.cif,MgS,-3.4672,1.583,Semiconductor,Pm,6,2,Solar / Visible
ZnInTe2Se3_id300_Final_E-3.47.cif,ZnInTe2Se3,-3.4656,0.633,Semiconductor,Pm,6,7,IR / Narrow-Gap
LiTe_id522_Final_E-3.44.cif,LiTe,-3.4398,0.295,Semiconductor,Pbca,61,16,IR / Narrow-Gap
NaTeSe_id2087_Final_E-3.44.cif,NaTeSe,-3.4376,0.603,Semiconductor,Aea2,41,24,IR / Narrow-Gap
Li3Te2_id2900_Final_E-3.44.cif,Li3Te2,-3.4364,1.065,Semiconductor,P-42_1m,113,10,Solar / Visible
MgP_id3175_Final_E-3.43.cif,MgP,-3.4349,0.469,Semiconductor,P222,16,24,IR / Narrow-Gap
K2SbTe4_id752_Final_E-3.43.cif,K2SbTe4,-3.4289,0.292,Semiconductor,P1,1,14,IR / Narrow-Gap
SrTiC2_id2125_Final_E-3.42.cif,SrTiC2,-3.4242,0.818,Semiconductor,I4_1/amd,141,16,IR / Narrow-Gap
InO20_id2609_Final_E-3.42.cif,InO20,-3.4158,1.328,Semiconductor,P1,1,21,Solar / Visible
KInTe4_id3117_Final_E-3.40.cif,KInTe4,-3.3993,0.429,Semiconductor,I-42d,122,24,IR / Narrow-Gap
MgTe_id1623_Final_E-3.39.cif,MgTe,-3.3891,1.756,Semiconductor,Aea2,41,16,Solar / Visible
Ca4Al(TeSe2)3_id1662_Final_E-3.39.cif,Ca4Al(TeSe2)3,-3.3859,0.311,Semiconductor,Im-3m,229,28,IR / Narrow-Gap
Li3ScAs_id1624_Final_E-3.38.cif,Li3ScAs,-3.3811,0.254,Semiconductor,Pm-3m,221,5,IR / Narrow-Gap
Ge6Te3As3Se7_id899_Final_E-3.38.cif,Ge6Te3As3Se7,-3.3768,1.269,Semiconductor,P1,1,114,Solar / Visible
Al9Ga2_id2773_Final_E-3.37.cif,Al9Ga2,-3.3654,3.26,Semiconductor,P1,1,44,Wide-Gap Power/LED
BaAs(Se4S3)2_id1932_Final_E-3.36.cif,BaAs(Se4S3)2,-3.3634,1.161,Semiconductor,Cmc2_1,36,64,Solar / Visible
MgGaP_id693_Final_E-3.35.cif,MgGaP,-3.3512,0.257,Semiconductor,P2_1,4,6,IR / Narrow-Gap
K2Na2AsS4_id468_Final_E-3.34.cif,K2Na2AsS4,-3.3369,2.721,Semiconductor,P1,1,9,Wide-Gap Power/LED
KS_id2375_Final_E-3.34.cif,KS,-3.3365,2.368,Semiconductor,P1,1,16,Wide-Gap Power/LED
ZnTeAsSe_id2222_Final_E-3.34.cif,ZnTeAsSe,-3.3364,0.203,Semiconductor,P1,1,32,IR / Narrow-Gap
KCd(Te2Se)2_id1806_Final_E-3.34.cif,KCd(Te2Se)2,-3.335,0.571,Semiconductor,P1,1,16,IR / Narrow-Gap
Ti3Zn3Sn3Te16_id3058_Final_E-3.31.cif,Ti3Zn3Sn3Te16,-3.3075,0.678,Semiconductor,P6_3/m,176,50,IR / Narrow-Gap
BaLi8TiTe4_id2544_Final_E-3.31.cif,BaLi8TiTe4,-3.3064,1.149,Semiconductor,I222,23,28,Solar / Visible
ScZn6(SeS3)2_id68_Final_E-3.30.cif,ScZn6(SeS3)2,-3.3024,1.334,Semiconductor,P1,1,60,Solar / Visible
K2MgZnSi4_id231_Final_E-3.29.cif,K2MgZnSi4,-3.2862,0.599,Semiconductor,P3_121,152,24,IR / Narrow-Gap
MgSi_id1449_Final_E-3.28.cif,MgSi,-3.2783,0.396,Semiconductor,I4_1/amd,141,8,IR / Narrow-Gap
KGaSeS2_id279_Final_E-3.27.cif,KGaSeS2,-3.274,1.133,Semiconductor,P1,1,30,Solar / Visible
ZnSe2_id1555_Final_E-3.27.cif,ZnSe2,-3.2736,0.083,Semiconductor,Pnnn,48,12,IR / Narrow-Gap
Zn2O_id3239_Final_E-3.27.cif,Zn2O,-3.2717,0.333,Semiconductor,P2_1/c,14,12,IR / Narrow-Gap
Ti2O5_id1633_Final_E-3.27.cif,Ti2O5,-3.2662,0.555,Semiconductor,Cm,8,7,IR / Narrow-Gap
Na9Te4SeS4_id536_Final_E-3.27.cif,Na9Te4SeS4,-3.2657,1.476,Semiconductor,I4,79,36,Solar / Visible
Li28BAsO8_id2539_Final_E-3.25.cif,Li28BAsO8,-3.2528,3.227,Semiconductor,Pm,6,76,Wide-Gap Power/LED
Li4GeAs_id3189_Final_E-3.25.cif,Li4GeAs,-3.2521,0.766,Semiconductor,P1,1,12,IR / Narrow-Gap
Ti3Zn5O2_id2831_Final_E-3.25.cif,Ti3Zn5O2,-3.2499,0.052,Semiconductor,P1,1,30,IR / Narrow-Gap
Mg(GaGe)2_id612_Final_E-3.25.cif,Mg(GaGe)2,-3.2484,2.137,Semiconductor,P4_332,212,20,Wide-Gap Power/LED
K2Li(TiBe)2_id2519_Final_E-3.24.cif,K2Li(TiBe)2,-3.2408,2.914,Semiconductor,P-1,2,21,Wide-Gap Power/LED
LiGa6(SiAs)2_id1942_Final_E-3.23.cif,LiGa6(SiAs)2,-3.229,2.637,Semiconductor,P4/mnc,128,44,Wide-Gap Power/LED
K3AlSn3As4_id2038_Final_E-3.22.cif,K3AlSn3As4,-3.2198,0.296,Semiconductor,P1,1,11,IR / Narrow-Gap
K2Ca(GaGe)4_id1166_Final_E-3.21.cif,K2Ca(GaGe)4,-3.2124,0.184,Semiconductor,Fdd2,43,88,IR / Narrow-Gap
Na24B(PO)12_id885_Final_E-3.16.cif,Na24B(PO)12,-3.161,2.336,Semiconductor,I432,211,98,Wide-Gap Power/LED
Sb2AsSe2_id1327_Final_E-3.15.cif,Sb2AsSe2,-3.1518,2.254,Semiconductor,P1,1,20,Wide-Gap Power/LED
KLiNO_id1464_Final_E-3.14.cif,KLiNO,-3.1375,0.938,Semiconductor,P1,1,16,IR / Narrow-Gap
Na2Se_id2010_Final_E-3.13.cif,Na2Se,-3.1313,0.174,Semiconductor,I4/m,87,24,IR / Narrow-Gap
Li7Ca3(SiAs)3_id330_Final_E-3.12.cif,Li7Ca3(SiAs)3,-3.1209,1.127,Semiconductor,P31m,157,16,Solar / Visible
TiGa(Te6S)2_id2117_Final_E-3.12.cif,TiGa(Te6S)2,-3.1175,2.253,Semiconductor,P1,1,128,Wide-Gap Power/LED
KCd2Te4As_id29_Final_E-3.11.cif,KCd2Te4As,-3.1147,0.932,Semiconductor,I-42m,121,16,IR / Narrow-Gap
Mg2S_id456_Final_E-3.11.cif,Mg2S,-3.111,1.428,Semiconductor,Cm,8,12,Solar / Visible
Zn4Ga3S4_id1418_Final_E-3.11.cif,Zn4Ga3S4,-3.108,0.081,Semiconductor,P2_1,4,22,IR / Narrow-Gap
Sc3Ti9O11_id499_Final_E-3.10.cif,Sc3Ti9O11,-3.1013,0.305,Semiconductor,P1,1,92,IR / Narrow-Gap
K9GeO13_id3158_Final_E-3.10.cif,K9GeO13,-3.096,1.498,Semiconductor,P1,1,46,Solar / Visible
K5NaInO6_id713_Final_E-3.09.cif,K5NaInO6,-3.0935,2.804,Semiconductor,P1,1,26,Wide-Gap Power/LED
BaNa(SO45)2_id926_Final_E-3.08.cif,BaNa(SO45)2,-3.0838,0.191,Semiconductor,P-3,147,94,IR / Narrow-Gap
KSb_id2937_Final_E-3.08.cif,KSb,-3.0814,0.503,Semiconductor,P-1,2,4,IR / Narrow-Gap
InAs_id1352_Final_E-3.08.cif,InAs,-3.078,0.161,Semiconductor,Pmna,53,16,IR / Narrow-Gap
MgSnSb_id1252_Final_E-3.06.cif,MgSnSb,-3.0638,2.064,Semiconductor,P1,1,12,Wide-Gap Power/LED
K2GaSnAs_id2172_Final_E-3.05.cif,K2GaSnAs,-3.0497,0.737,Semiconductor,P2/c,13,20,IR / Narrow-Gap
Zn3CdGaO13_id19_Final_E-3.00.cif,Zn3CdGaO13,-3.0005,1.107,Semiconductor,P1,1,54,Solar / Visible
K3Sr6Mg2O6_id3030_Final_E-2.99.cif,K3Sr6Mg2O6,-2.9902,2.685,Semiconductor,P1,1,68,Wide-Gap Power/LED
